date,base_mom6_top20,recommended_daily50_cash
2025-09-04,174082.06792131427,70350.40421289235
2025-09-05,174882.2518350893,70673.77618595607
2025-09-08,176703.99988578758,71409.9847643066
2025-09-09,181803.4501143323,73470.78510477478
2025-09-10,185332.9460448974,74897.1322773925
2025-09-11,185516.04445404717,74971.12638401265
2025-09-12,183167.2093707583,74021.91030729712
2025-09-15,185260.59025811843,74867.89170765535
2025-09-16,183934.42741085246,74331.96004351949
2025-09-17,183331.5855687762,74088.33835535297
2025-09-18,186207.9885649513,75250.75626477003
2025-09-19,187150.12293299654,75631.49354808859
2025-09-22,189196.48189476525,76458.47235092644
2025-09-23,189109.11879773086,76423.1669960266
2025-09-24,187883.6189634503,75927.91547624664
2025-09-25,186219.69476457362,75255.48699829738
2025-09-26,187502.90978244817,75774.06249706922
2025-09-29,189037.02563917314,76394.0325601477
2025-09-30,191736.5330669183,77484.9630677254
2025-10-01,197719.74343510118,79902.91037797157
2025-10-02,198993.22510951202,80417.55241791453
2025-10-03,197731.66883561222,79907.72969541402
2025-10-06,198235.33175159947,80111.27099148114
2025-10-07,194084.81310251352,78433.95483742256
2025-10-08,199047.5718669628,80439.51514158833
2025-10-09,199281.35851913667,80533.993485489
2025-10-10,191726.86882142836,77481.05753291213
2025-10-13,198646.6079871628,80277.47679177133
2025-10-14,195030.9249984613,78816.299527518
2025-10-15,200281.01035367182,80937.97484595569
2025-10-16,202324.89846550574,81763.95512382346
2025-10-17,198839.58599543426,80355.46346235841
2025-10-20,198869.58861805103,80367.58818407007
2025-10-21,197422.72222952047,79782.87755597034
2025-10-22,194578.39498724137,78633.42216635191
2025-10-23,202010.78846383857,81637.01634231389
2025-10-24,209151.73324430027,84522.82967028109
2025-10-27,211765.8854131871,85579.26623466246
2025-10-28,211560.21923961444,85496.15199655326
2025-10-29,219658.26055092886,88768.749147922
2025-10-30,214451.78428949788,86664.69722637626
2025-10-31,217453.44303265217,87877.73374651637
2025-11-03,217871.5811692725,88046.71259240969
2025-11-04,209634.3028860664,84717.8467088796
2025-11-05,218694.1037133409,88379.1120988056
2025-11-06,215415.04652769706,87053.97274814313
2025-11-07,214792.4653469161,86802.37395772047
2025-11-10,221518.8817323348,89520.66721600319
2025-11-11,216008.3118547066,87293.72435529588
2025-11-12,215986.54051115506,87284.92607505142
2025-11-13,205430.71964126028,83019.08598098933
2025-11-14,205368.7952695963,82994.06097623607
2025-11-17,204755.96210826412,82746.40157553164
2025-11-18,202706.98424533452,82705.02837474387
2025-11-19,206069.06725055331,82705.02837474387
2025-11-20,194013.60424509307,82705.02837474387
2025-11-21,195462.1908970823,82705.02837474387
2025-11-24,206624.65674952918,82705.02837474387
2025-11-25,206946.11209952558,82705.02837474387
2025-11-26,213242.4150942882,85179.96337402952
2025-11-28,217024.11004172987,86690.56639816242
2025-12-01,215761.30590261915,86186.13762272174
2025-12-02,216033.96624450025,86295.05215515522
2025-12-03,215546.3338621662,86100.2667582217
2025-12-04,217141.06933231765,86737.28594072674
2025-12-05,222187.47459065932,88753.07916313039
2025-12-08,225288.31945730338,89991.71572636995
2025-12-09,228442.82292527272,91251.78628853304
2025-12-10,234944.12551088657,93848.74016321698
2025-12-11,237423.68224445588,94839.20236397507
